"score","city","title","review"
"4","Goulds","Hatebreed is the god of all that is god about hardcore.","Hatebreed album Satifaction is the Death of Desire has to be one of the all time best albums I have ever heard. I list to a lot of hardcore and and this album never comes out of my disc changer. If you are looking for strong lyrics"
"3","La Mesa","Worse than The Quest","The beginning of the film is nothing more than a hurried attempt to get Van Damme to the Foreign Legion where the real story and action begins"
"3","Ozark","I liked it"," but my dog doesn't."
"1","Glenwood Springs","Imitation Brand","They sent an imitation; Holt from china instead of the advertised Halti"
"2","Manteca","Not good for small dogs like lhasas","This is probably a good product for dogs with square jaw lines but for owners of small dogs such as a lhasa apso or shitzu beware! Because of their flatter facial structures"
"3","Sebring","The Wild Thornberry's Movie","This game is so cool. I have only played it once"
"1","Quincy","Disappointed","I am sure the story is fine"
"1","Lee's Summit","stargate continuum","the story is without a bunchline and not as good as the others stargates that I have bought"
"3","Two Rivers","stargat continuam review by cvf","movie was awsome they did bring back general oneill wich i am REALLY HAPPY about that my only problem with the movie was richerd dean andersons character wasent showed enough"
"4","Holmdel","Very pleased!","As a loyal fan of the Stargate franchise since the very first movie...I applaud the actors"
"3","Augusta","2/3 done","I am pretty happy with installment 2 out of the 3 that were promised. I have been to a few conventions and have shaken hands with most of the stars"
"4","Newark","It's great to have SGC Back","I hope we'll see more of this mini movies"
"4","Southborough","Above expectation","The entertainament quality is above the average of the series SG1. I think this film reached the quality level of Stargate Atlantis."
"5","East Northport","Video Review","Length:: 6:20 MinsThis is my video Review of Stargate Continuum. For more video reviews"
"2","Eustis","Great movie butt o grainy on blueray","I like all the stargates. But this one and ark of truth are way to grainy they look better on standard dvd. Other then that it's another great stargate film."
"2","Halls","one time cooker","This rice cooker is good for one time cooking. The rice does not last more than 12 hours. I usually leave my rice for 4 days so that I do not have to keep cooking it (lazy). I returned it and bought Cukoo rice cooker (made in Korea). The rice lasts for 4 days without changing color or get old. Cukoo is more expensive but it will last for years."
"1","Saginaw","The few standout tracks on this album are...","1) The intro"
"2","Sevierville","Soulstar - - Not Quite There Yet!","I got the feeling when I was listening to this album that he wasn't there musically or lyrically. The majority of this album is just passé and I could take it or leave it. Forthenight is the only song on here that gets major play in my cd player"
"4","Gonzalez","This cd is really cool..give him a break","I love Musiq ( even when he had the Soulchild"
"3","Waxhaw","Jusbeautiful","At first I didn't really care for this album"
"2","Nashville","ultimately ineffective","This is the kind of book where you realize early on that the writer isn't talented enough to pull off what she's set out to do. Sad"
"5","Broomfield","Run Lola Run","This is without a doubt one of the all time best films I have ever seen. If you are thinking about buying it just do so"
"5","Oak Ridge","What if!","This IS your bag:If you like action"
"3","Portland","My favorite movie ever","this movie is simply the best i have ever seen. i am very into film"
"2","High Point","A bit overrated. . .","Actually this isn't really even a movie"
"4","Wallington","Achtung!","This movie left me on the edge of my seat and short of breath. Once just wasn't enough in the theater. I just had to see it again on the big screen. I never used to be into movies with subtitles. But the effect just isn't the same as it is in its native tongue. Just when I thought it's over"
"5","Schuylkill","Good for Hip and Knee joints in my Bichons","This product is palatable and seems to work well with my Bichon"
"4","La Riviera","RELLY CHALINGING.","RELLY QUICK action you can play tag here is how to play tag youhave to tag all the othere cars wethowt being tagd in retern.batell is a chalinging game you fite. you can race to."
"1","Rye Brook","Just another excuse to make money","I am sorry but after reading this book"
"3","San Carlos Park","10 stars!","This album is brilliant! If you buy it"
"2","Uniondale","Disappointing","This was a very disappointing purchase. The 'Premium Hand Decorated Exotic Wooden Tea Chest' appears to be pine decorated with printed paper. Although the print is very nice"
"5","Kings Park","Thank goodness for Amazon!","My cable was out"
"4","Tremonton","Joshua & Children","This is an easy reading"
"5","Calimesa","Nice CD"," but mislabelled"
"4","Puyallup","Colleen - Colleen Et Les Botes À Musique","I can't imagine a more limiting instrument than a music box -- its tones are set in a specific pattern"
"5","Le Mars","McDuffie's elegance and artistry are marvelous.","I knew nothing of Robert McDuffie until I heard him perform the Mendelssohn Concerto at Wolf Trap with the National Symphony. That performance led me to seek out this CD"
"3","Estelle","Great value"," brute force"
"2","Florida City","Not a horror movie"," a horrible movie"
"2","Mechanicsville","Absolute Crap!","Okay"
"3","Sandwich","A Truley Horrible Horror Film","A truly horrible horror film. Over use of not so special special effects attempted to divert our attention from the fact that the movie never gained any momentum"
"3","Alafaya","Too awful to be funny","I'll admit it was years ago when I had seen part of this movie remake that was SO bad"
"2","Folsom","Catherine Zeta-Jones trap!","Is The House On Haunted Hill so different than The Haunting? Both share the same failure. A great old story that can be pictured every year and still make a good THRILLER. But this movie makes it no better than a poor picture!Good actors"
"3","Lady Lake","Great Mystery - Not So Great Horror Flick","If you like super-natural mysteries"
"2","Jackson","...and what a feeble haunting it is!","No"
"2","Highland Village","Great - then ZZZZZZ - then EGADS"," what a waste!"
"2","Hanover","Poor plot","The actors in the movie are a great bunch"
"3","Merrill","Catherine Zeta-Hipboots","A fan of both Jackson's novel and the 1963 Robert Wise adadptation"
"2","Highland Park","Typical Hollywood pulp","Third grade mentality"
"2","Sarasota","EMBARASSINGLY BAD","This is the worst film of all time. The only amusement came from making fun of the acting. How they got Liam Neeson and Zeta Jones to be in this movie is incredible. I was looking forward to bathroom breaks so I would miss some of this movie. Total poop!!"
"2","Robinson","IF IT AIN'T BROKEN"," DON'T FIX IT"
"3","Spokane","Sadly Disappointing","This overdone remake of the brilliant 1963 classic is sorely disappointing. If it had been released as an original movie with an original title"
"2","Golden","It may be a modern-day classic to some"," but not to me..."
"2","Kettering","Poor re-make of a good movie","I was originally looking forward to seeing this movie"
"5","Tempe","A lot better than the factory seat.","The seat was a cinch to install. It took about 10 minutes tops"
"5","Webster","Great story","I bought this book and Alamut when was in high school and lost them years ago. I was so happy to have it to download and read again on my Kindle!"
"4","Thibodaux","Please the parents and the kids","Our almost 3-year old son knows nearly every word of this album by heart"
"3","Carson","too small for a newborn","I ordered this bag without any knowledge of how big it was. I wanted to use it for a wkend trip I was taking and was shocked at how small the bag was. I have a 3 month old baby girl and it was way too small for me to carry all of her things in it. I was only able to fit a few diapers and wipes and the other small items. I wasn't even able to fit a change of clothes. I tried putting a change of her clothes in the back pocket but it made it way too bulky. All in all the bag was adorable but way too small for a newborn. I wouldn't recommend this bag to any mother with a newborn baby."
"3","Sylvania","book review","Book is packaged properly so it is not easy to tamper with it. Great that it comes with a CD."
"3","Columbia","A great buy","This book is great for anyone having trouble taking the asvab for the first time. My daughters score improved tremendously!"
"5","Grandview","helped a bit","studied the asvab few days before taking the test. this book helped me get an idea of the difficulty and what to expect in the test. the practice tests on this book is actually harder than the actual asvab"
"3","Avenal","A Surprising Find","The composers of these songs were almost all born in the second half of the 19th century. Their attempt was to create an American music from native American sources of rhythm and tonality. I get the same sense of hearing original music with these songs as I got the first time I heard Erik Satie. The songs tend to be melodic and peaceful and fresh. Don't expect much in the way of tom-toms and movie indian harmonies. I love to find songs that go to unexpected places. I found that here.For a much more sophisticated review"
"5","Elgin","5 for the 1st"," 4 for the 2nd"
"5","Palm City","Make sure you see Jean de Florette first","This is the second part of a two part series"
"2","Murray","Does not work with Minolta DiMAGE 7i digital cam","I bought a SimpleTech CompactFalsh card of 256Mb to use with my digital camera (Minolta DiMAGE 7i) but it does not work ! The card works fine on my PC"
"1","Winchester","Will Die"," Don't Buy"
"4","West Glens Falls","My favorite book of all-time","I can still remember the force with which the first two or three paragraphs hit me"
"3","Aurora","Simply Superb.","I have read this book in both Spanish and English I believe it is simply the best novel written in the 20th century. No where else does a book burn with the fires of imagination and dreams like this one. It touches my soul with a something magical"
"4","Bluefield","This Book Changed My Life","Before reading this book"
"4","South Union","Macondo"," la capital del mundo"
"2","Norton Shores","Too Boring to Continue","I only made it to 195 pages. The book is just boring. A lot of sound and fury signifying very little. There are marriages; there are deaths; there are love affairs; there are suicides; there are battles... so a lot does happen. BUT-- I don't care about the characters. If you don't care about the characters"
"1","Broadlands","Columbian family values","Marquez' book takes the reader through the lives and times of what I hope is an atypical Columbian (?) family"
"2","Robbinsville","500 pages of boredom","The first paragraph of this book is one of the greatest in literary history. It's enough to compel the reader to read the next one hundred pages. Unfortunately"
"3","Texarkana","my #1 book","this book changed me ... it changed the way i look at things ... the way i observe all the events in my life ...it wasnt easy to read at the beginning ... but this book helped me get rid of depression ...writing the characters names with a brief about each of thm will help you alot"
"2","Athens","You must read this book!","This was my first encounter with the magical realism style and I love it! The Buendia family is quite possibly the most intriguing I have encountered in any book. A must read."
"2","Great Falls","Emporer's new clothes.","I'm one of those obsessives who forces himself to finish any book he starts so I plugged away hoping I'd experience the enlightenment all these other reviewers seem to have found...but I just didn't get it. Maybe it lost something in the translation"
"3","George Mason","U will never read anything like it","I read One Hudred Years of SOlitude like 6 times over the years"
"4","West Deer","One of the best ever.....","I have read this book 4 times"
"5","Midlothian","A Haunting and Incredible Experience","I approached this novel with reluctance. A friend recommended it but said it was best to read it in the original Spanish. I don't understand Spanish"
"3","Craig","lesson in the depravity of man","As I opened this book"
"2","Portage","Could never read this book....","This is what I think my problem is... I didn't like the translation of the book. If the novel was written in Spanish and then translated into English"
"3","Salinas","Excellent translation of Marquez's masterpiece","This translation of Marquez's quintessential work does great justice to his remarkable prose. The clarity and depth of Hundred Years' symbolism and the excellent development of the Buendia characters send the reader back to an austere but complicated time - a time of exploration"
"4","West New York","great card","This card has to be the bast purchase I've ever made! The grapghics are great"
"4","Groton","The best discworld novel; for beginners or veterans","I've read nearly all of them and this is my favorite. Definitely check out the ones with Death in a lead role (like Mort for instance)"
"5","Potsdam","Pratchett I just love him","the whole city watch series is just about my favorite bunch of books I have ever read. I almost have to read them alonme because I get the whole family looking askingly when I laugh out loud. Great stories"
"2","Elkhorn","I'll second that","I nearly cried when I realized that this was an abridged version. There is no indication in the record. I was really looking forward to these CDs."
"5","Carmichael","Carrot"," Vimes"
"2","Emmaus","Terrible product"," did not work"
"4","Hays","Where are the other seasons?","This is one of my favorite shows. I have contacted Sony for a release date"
"2","Dickson","Kindle-Version of Bantam Classics un-readable","I was looking for a well-structured side-by side version of the Canterbury Tales. Bantam Classics normally does a great jobs on books"
"1","Seven Hills","Beware of editions by General Books LLC","Beware of editions by General Books LLCThey produce books by scanning (OCR) copyright-free material"
"2","Eloy","Kindle version is very poorly edited","The content - introductory notes"
"3","Anthony","Aaarrrggghhh","Why did I think this rendition of The Cantebury Tales was translated into modern English? It is the second of three items purchased from Amazon"
"5","The Dalles","Cnnterbury Tales(Oxford Word's Classics)","This translation allows you to read the stories"
"3","Ulster","Great movie"," poor audio transfer"
"3","Greeneville","Tedious and Self-Inflating","I'm always up for another look at the Titanic"
"5","Marion Oaks","This is GOLD!","Jenna Reid has produced a debut solo cd of sheer quality from start to finish. This young woman is such a stunning live performer its a joy to see she has produced an equally impressive studio recording. Stripped bare of over production lets her talent be heard. Fiddle playing of the highest order"
"5","Muscle Shoals","Excellent fiddle","I really enjoy this album and the level of playing is admirable. There is a good range of tunes"
"2","West Haven","This Coyote Is No Genius","The usual Girl Goes To The Big City cliches"
"3","Marshfield","Good movie + these Coyotes aren't ugly!","This is a really good cheesy movie that girls and guys will both like. However if your boyfriend doesn't like these types of movies then put in the unrated version. In the regular version the kissing/sex scene doesn't show anything but the unrated version shows lots of skin and is pretty steamy. It's definitely a cutesy movie"
"3","O'Fallon","The bar scenes were cool"," but that's about it"
"1","Kirkland","Coyote Stupid","This movie is so dumb... HOW DUMB IS IT? This movie is so dumb that even though it has a bunch of hot chicks dancing around in sexy clothes provocatively it is anything but sexy and provocative. Dumb"
"1","Roanoke Rapids","Absolutely horrible!","This movie is one of the worst I've seen in the past year (right there with The Whole Nine Yards and Cruel Intentions). The plot is predictable"
"4","Sanger","Great Movie","I love this movie"
"4","Canton","Stunning","I bought this cd initialey by mistake. I was in a hurry and missed the cd i wanted right next to it. It must have been God's hand directing me to this stunning album. I had only heard the band on the radio and by the time song one was over i was hooked. I sat there and let Shirley Manson's rich voice enthrall me through the rest of the cd. I went out immeadiately and found their first cd"
"4","Eloy","A must have. Not a bad song on the albumn.","this cd is even better than the first and if u are thinking about getting"
"4","Rosedale","Rocks. Best. Get it.","Its amazing how this sounds very odd the first time around you hear it.. then slowly it just hits you and you can't stop listening to it. Also this cd is sorta more insane (literaly) than the first one. and its abit more slow paced. Rocks. Get it! Also"
"3","San Jose","GREAT","Garbage rocks. Shirley Manson has a uniqe voice which is great. The music for this record are very expressive and the tunes are very singable."
"4","Franconia","the album grows on me...","I bought Garbage's first album first and I thought the album was great"
"3","Westmont","Shirley...yum","Garbage is a band like no other. You really have to take a listen to this amazing band to realize how one incorporates so many styles into one little album.This album is packed FULL of classic Garbage songs that can really give you the chills. The opening track Temptation Waits was very eerie the first time I heard it and I loved it. The next track I Think I'm Paranoid has that heavy bass and light vocals that the band is known for"
"3","West Freehold","Shirley & The Boys Do It Again","Garbage deliver more terrific euro-trash rock on their second album"
"4","Richmond Hill","Great show","Been watching this show on DVD since I got it. It made me even make want to get season 8 in the store which I did. It's a great show"
"4","East Greenwich","GREAT","AFTER RECIVING THE 7TH SEASON SET AND IT WOULD NOT WORK...I MADE A SHORT PHONE CALL AND HAD A REPLACEMENT THE VERY NEXT DAY...WOW"
"3","Washington","absolutely engrossing and wonderful movie","Disregard stories about how Hellman cooked up this story and then passed it off as true. Or about Redgrave's protest at the Oscars. Both apparently true (certainly the second one is). Just see this movie because it's simply one of the best movies and stories of all time. The script and acting are both top-notch."
"4","Orangetown","Julia","If you like Jane Fonda or Vannassa Redgrave you'll like this movie.The content is dark but considering it's WWII that won't be a surprise. The movie is touching"
"5","Londonderry","Review of JULIA","DVD arrived quickly and safely - good srvice would use these folk again. No problems encountered.First saw this film in the early 70's at a seaside picture plcae on the East Coast of England (Bridlington). Was charmed by thew story and the actors... Loved the moody scenery... The DVD reflected the original perfectly and was most enjoyable..."
"1","SeaTac","Glich Heaven","I bought this game thinking it was going to be cool as hell"
"3","Elkton","Wonderful flow","What a great video! I just received it and went through the routine. The flow was wonderful. (I am not a surfer"
"2","Oyster Bay","DO NOT WASTE YOUR MONEY !","There are many better yoga dvds to choose from. As a surfer"
"1","Middleburg Heights","Another Bogus How to be a better surfer DVD.","This is perhaps the worst of all videos out today of its type. If you have a basic knowledge of yoga"
"3","Mount Olive","dont do it","If you know anything about yoga"
"1","Spring Hill","no book key","I purchased this book under the impression it had a book key for QUIA"
"2","Addison","Needs some modification","This thing is ok. But realize"
"4","Natchez","Nigerians! An Industrious People","When I selected this book I was looking for a book I could share with young children"
"3","Portland","If you love the songs on Noddy"," DON'T BUY!!"
"4","Lantana","Nice Experience.","This is my first Lou Reed Video. I can honestly say that I enjoyed it. I have gained some new perspective on Lou's music. He is a true professional. Before I turned it on"
"4","Palm Harbor","A rebuttal ...","... to Jazzie of Hampstead"
"3","Palestine","Native American Herbal Remedies","So far I really like it. It's very informative and useful. I would have given 5 stars but I have it on Kindle and in hindsight would have rather gotten the book in paper. It's difficult to flip through the book and find what you need. But I am fairly new to Kindle so maybe it's just me. Or old fashion enough to prefer a book in hand. But I do recommend it in whichever form you prefer."
"3","Eau Claire","blleeuurrgghhhh","i have listened to this single and i want to feed it to the garbage can man. I urge you to avoid it at all costs"
"3","Carmichael","Dad is in Trouble","This movie is about two twins who look alike and they are on there own soccer team.They switch teams without their mom nowing."
"5","Maysville","can't stand those male co-stars","I think this movie was great! I just couldn't stand the bad acting of the guy mary-kate's character liked. He seemed to be angry at her even when they were just talking. yuck!"
"2","South Kingstown","bad acting","This movie had bad acting. The dad is dramactic and corney. The mom is just corney"
"4","Hopatcong","Switching Goals - a very good movie","Switching goals was very good. The plot was better than the average Mary Kate and Ashley movie"
"1","Forestdale","Entertaining"," but freaky"
"2","Versailles","Will bore you to death","Langston Hughes is definitely a better poet than he is a novelist. I found this book to be lack luster and boring. Although you may like a character or two...in general the characters were not developed nor were they intriguing. His wording lacked the rapture that we are accustomed to him delivering."
"3","San Tan Valley","A good book","I really liked this book. The characters were intersting and the relationship Sandy had with his grandmother made me think of my grandmother. The book would be good for young people to give them a idea of what black life was like back in the 20's and 30's."
"2","Dover","Not happy","I contact the company by e mail to return the product as directed the company e mails back to ask for a reason and if the product was opened I replied and the company DID NOT what is the next step to return the product ?????????????"
"4","Springfield","Nice suit.","It is a great suit"
"1","Collingdale","Worst test prep book I have ever used.","As other reviewers have suggested"
"1","Riverton","preliminary review","I just began using this book to review for the GRE in April. I haven't gotten very far into the book"
"3","East Bridgewater","Wild Wild West","This is an awesome soundtrack it is fun and enjoyable to listen to. The Best songs on this cd are all of them. if you have not listened to this cd then i recommend you do"
"3","Maryville","Isn't there a larger version of this game??","This is too small for the age of child it's designed for. I swear there used to be a larger version. Plus"
"3","Holland","Disappointed","My 4 year old son received this as a Christmas gift. Once it was initally set-up he had a blast when the teeth chomped down on his finger (very gentle). However"
"2","Dinuba","It's great when it works","I specifically bought this toy because it was self contained with no parts to loose. It was to be taken on a trip to visit with my 5 year old grandson. What fun! We laughed and pushed the teeth down while taking turns. Well"
"4","West Norriton","the bad quality doesn't ruin the concert","yes this video is bad quality but it is great to see bowie and the spiders in their final concert"
"4","Plattekill","Goodfun","Imagine action films were 30 minutes long. There would be no time for sub-plots or romantic involvements or No! You go on without me .... All there would be is car chases and explosions. Godwill's book is rather like that.I liked it.Forget the measured blend of theory"
"1","Brooklyn Center","Borinmg & dumb","A waste of time.Glory for old time movies that try to claim a life in a new world"
"4","Laurel","Best film of the year","One of the best films ever made"
"4","Farmington","See this movie just for Ian McKellen's performance!","Gods and Monsters is a superb movie about the last days of gay film director James Whale -- who directed Frankenstein and Bride of Frankenstein. The acting is superb"
"3","Sugar Grove","best screenplays have more stability","One of the few recent films that I anticipated to be good and it exceeded my expectations.Sir Ian McKellen once again performs well. The real surprise here is Brendan Fraser. Thanks to Bill Condon's amazing screenplay"
"2","Garden City","Tree arrived bent and poorly packed","The manufacturer packed this product so poorly that the plastic joints between sections of the tree were smashed"
"4","Southside","A Legendary story by Robert Creamer","Of the 200+ baseball books I've read"
"4","Sterling","A Great Book on a Sports Legend","This book was excellent. The author gives us an intimate portrait of one of the greatest and most colorful athletes of the 20th century: Babe Ruth. Overall"
"4","Aurora","This will make your install a breeze. . .","My car is a 1994 Honda Civic EX. Save yourself a headache and get this if you have to replace your stereo. Plug and play."
"5","West Monroe","Great summer read","This is the first book I've read by Meg Wolitzer"
"5","South River","Gripping Novel About the Loss of a Child","The novel is a wrenching page-turner about a woman's loss of an adult daughter and her subsequent attempts to cope and live. The author artfully describes experiences of the mother and the dead woman's friends as they provide each other with memories and support needed to adapt to the sudden death of a young woman whom they loved. It is the best book I have read all year!"
"1","Artesia","If I could rate it 0 stars"," I would have!"
"4","Central","Helpful Start","Good book to start with; motivated me to get more books to read more about the nuances and subtleties about the game."
"2","South River","Sooo dissapointed","I got this book because it had such awesome reviews. I'm going to be taking a test in the near future"
"2","Bloomingdale","Material too flimsy","I bought this bed recently for my 9 year old lab mix. He doesn't dig"
"2","Reedley","Disappointed","I love this video unfortunately it doesn't show on a Blue Rays DVD player. Which means I can't enjoy it :( I was a bit frustrated. However"
"1","Nether Providence","Looks & feels like a bootleg product.","My copy even has an arrow pointer on the front cover picture! Talk about lousy merchandising. No Dolby"
"4","Kewanee","Underappreciated Effort","While even some members of the Bonzos give this album low marks"
"4","North Las Vegas","Awesome!","I Love this. My kids have so much fun with these. They are strong and hold up to ruff play. They shoot water clear accross the pool."
"2","Beaumont","A look at a distant past","I found it interesting. It will be used in an adult ed. class. I will have a better idea of its uses after the class meets and discusses the poems"
"3","Ewa Gentry","Excellent Translation!","If you follow my reviews"
"5","Fort Myers","One of Clftons great ones","I love all of Clifton Webb films"
"3","Soquel","PURE JUNK","SO CHEAP AND POORLY MADE THAT WHEN YOU USE THE ITEM IT CUTS YOUR FINGER"
"1","Flossmoor","Poor example. The homework problems like hell","The examples which were given in the textbook were way too simple when you compare to the homework problems. Never explain how to do bode plot at all. I am glad I know how to do differential equations before taking the class"
"3","Beekman","Misleading title","A book with a heavily religious slant. Anyone expecting a scientific discussion of sexual addiction should be prepared to read that God has responded to the arrogance of the human heart by turning people over to the control of their evil desires."
"2","Peoria","Propaganda","As a Psychologist specializing in the field of sexual health"
"4","Batavia","Excellent information","This book was suggested to me by a counselor I was seeing to help me deal with the fallout of my husbands confession of sexual addiction. We both read the book and it truly helped both of us to understand some of the underlying issues associated with this addiction. There is so much information in this book and I would highly reccomend it to anyone facing this kind of situation."
"1","Woodmoor","Great Concert - Bad DVD","I have had this concert on VHS for almost 20 years and have been waiting for the DVD. I just purchased this today and to my surprise it seems like the picture and audio are not in sync. The sound and picture are about a second off from each other. Did anyone else encounter this problem or did I just get a bad DVD."
"3","Silver City","Great deal on a fine subwoofer","I recently replaced my 14 year old Velodyne FSR-12 with the DD-15. I did so because the FSR-12 was struggling in our new house with larger great room"
"2","Bonita Springs","This Book is NOT for NXT","It's a great book. But the Mindstorms microproessor is now NXT -- it has been updated. Until this book is updated"
"4","Central Islip","Practical Guide When Making This Challenging Decision","No one can tell you what the experience of changing churches is like unless they have been there! This book is presented with wise counsel from ministers who have been there. Much of the advice you receive first hand on this subject is less than adequate because it is not thorough. When you study all of these essays together they are sincere"
"3","Hartsville","Excelente","Tego es la fuerza en la musica latina. Es una tremenda mezcla de son"
"5","Bluffton","definitely the best horror\suspense book I know","Since you open the book you cannot close it"
"4","Harrisburg","why?","This is a terrific recording. Rob Brown is simply one of the most interesting alto saxophonists playing today. A keening"
"3","Commerce City","chuck","This a good movie in the same vain as most of Chuck Norris's films"
"3","Davis","Memory Lane","I saw the movie based on this book when it came out in the 70's and I recommended it to my daughter. When we found that it is virtually impossible to get a copy of the movie (it never came out on DVD and I no longer own a VHS player)"
"3","Roslyn","Love these little smoker bisquettes.","I love the Bradley smoker and these little bisquettes it uses. It is so easy to use. We've used the mesquite and pork and chicken. It's all turned out great."
"5","Plumstead","the best kept secret anti aging creams on the planet","Have been using Exuviance products for many years they are the best. Its too bad they are not widely known. Everyone would look a lot younger!!! Exuviance should be advertising their products."
"2","Hanover","Doesn't fit my situation.","My fault. I received it OK but it just doesn't work on my water heater. I must not have checked it enough. It was a bad impulse buy for me."
"5","Elk Grove Village","One of the Best Romances I have Read","This is the first book from Candice Porter I have read and I cannot wait to begin reading her other novels. From the minute I read the first page"
"5","West Memphis","Underrated album","I almost didn't buy this album after hearing some of the two star reviews from the others"
"5","Valley Center","lo mejor del cine español","esta pelicula es una de las mejores que e visto alex se luce dando una clase de road movie con gore al por mayor esta pelicula no es apta para personas sensibles esta al nivel de asesinos por naturaleza de oliver stone"
"2","Spanish Springs","Well made but extremely skewed","This BBC produced docudrama displays its roots - the British apparently cannot get beyond the fact that Wernher von Braun was the mastermind behind the V2 program. I can't say I blame them"
"3","Easton","Well worth watching","The Space Race wasn't quite as one sided as one might believe. This series outlines the benefits of Capitalism over Communism but also shows serious flaws in NASA work to get man to the moon before this decade is out."
"2","Hillcrest","Not one of Rinaldi's masterpiecies"," yet not so bad"
"1","Village Green-Green Ridge","This was not one of her best books"," yet not a failure."
"5","Morristown","An Aquaintance With Darkness","This book was an absolute joy to read. It immersed you into the characters. You felt totally attached to them. It let me in to a new aspect of the Civil War that I had never seen before...it was interesting and definitely not boring. This book is what I call a people-y book. She forms the characters so that they seem like real people"
"4","Metairie","Excellent!","This was the first book I had read by Ann Rinaldi and I loved it! I have read many other books by her since then. At first I thought I would not like this book because it takes place over 100 years ago"
"3","Bloomingdale","A story based on a song","As soon as I had read the first few sentences of the review I immediately knew that the author had based this story on a song by Loreena McKennitt called The Highway Man"
"2","Millington","Well"," we couldn't get Yoko Kanno"
"4","South Venice","Hawaii in a bottle","I love this stuff! I first bought in Hawaii and it made my skin feel and smell so wonderful. So I bought it online to bring me back to those great hawaii memories when I cant be there in person!"
"5","Haslett","Kinuko San is back?","I have not heard this album"
"4","La Cañada Flintridge","Comprehensive guide to ski touring in the Tahoe ares.","My copy of this book is nearly destroyed from all the use it receives. This book is not just for winter. Many of the tours described have also turned out to be excellent mountain bike routes and hiking trips. The descriptions of the areas the routes traverse could be expanded"
"5","Bellevue","Do your homework","This product works great"
"2","Villa Rica","Una porqueria no compre","Total porqueria de repente dejo de conectarse"
"3","Harrison","Math made easy","This product was just how I remembered it when I used it 30 years ago. Yes the answers are hard to see until you press down real hard. But that is how it was 30 years ago and I did not expect anything different. I would recommend this product to anyone trying to teach their kids addition and subtraction.My children look at it like a computer and love playing with it. It gives them instant answers when they press down and they like that satisfaction."
"1","Bellefontaine","Average Book","The book wasn't as great as the reviews said it was. The explanation on many of the topics was sketchy and didn't have the detail I expected (e.g. AWT). It's probably a better book if you already know Java and are looking to catch some of the finer points. I don't recommend it for absolute beginners."
"3","Colchester","Some one has an EGO problem.","I previously wrote a scathing review of this bad book. And I was quite annoyed to find that some one posing to be me"
"3","Plover","Legend or the truth?","The Hound of the Baskervilles is a true mystery classic by Sir Arthur Conan Doyle. It tells of Sherlock Holmes and his trusty comrade"
"2","South Kensington","for this particular edition","Seeing as how Series 2 of Sherlock has yet to make it to the United States"
"3","Maryland City","A Sherlock Holmes Story Starring...Dr. WATSON!","Well"
"2","Winchester","Don't waste your time on this edition!","As other reviewers have pointed out"
"2","Tega Cay","MISSING TEXT!!!!!!","This review is NOT on the quality of the story. I love this book"
"3","Anthony","Plastic limitations","When I got the product and opened the box"
"4","Erie","Great John Wayne Movie"," YOOOOOOOOOOOOO!"
"1","Crofton","Disappointing","I got this video on loan from Netflix. As a railfan"
"4","Blackstone","My 5 year old is obsessed!!!!!","Great video. My son cant get enough of this. Any child or adult who loves trains will enjoy this DVD"
"4","Bloomington","Rad! Or as they say in Dutch"," heel goed!"
"4","Lake Havasu City","One of the most AWESOME books I've ever read !","John Bunyan's"
"3","Hopatcong","practical guide to modern christian living","in this book"
"5","Oakley","Best Unknown Artist","What a great voice and masterful delivery of material. Someone else wrote sexy with a capitol S but that is insufficient. I'm not a big jazz fan and I guess this is not classic jazz but some sub-genre that really turns me on. Somehow the instrumentation"
"2","Mansfield","Not as good as the other album!","I was excited to get my Steppin' album because I loved the other album of Christy Baron (I thought about you). However"
"1","Clinton","In a word...","painful. Neither Paltrow nor Beckinsale were perfect either"
"1","Ankeny","No ADA seal of approval","I have this toothpaste and the ADA seal of approval is nowhere to be found on the tube. It doesn't whiten either."
"3","Wood Dale","I found this product for $7.99 today...","I found this exact same product for $7.99 today at Walgreens. This is a sale price"
"2","Lockhart","Holds #1"," not #2"
"4","Sangaree","cool!","claudia and shea are both in trouble at school. If they fail one more language test"
"4","Wilmington","Marlon Brando","A good"
"3","Arlington","Horrible!","Brando is my favorite actor and he's known for taking on anyrole and doing a great job. He did a great job on this film too but he should have walked away from this one. I am an admirer of off the edge movies and themes that are hard to take....However"
"4","Wekiwa Springs","Well made"," but depressing."
"2","Los Gatos","Useless","The DVD will not play. It goes thru the process of downloading until the last point & then says that it is not programed for downloading. I would like to send it back for a DVD that will play."
"3","Apache Junction","Another great book in the series","I really love this book just as much as the two before it. I just don't want the series to end because I'm enjoying it so much."
"4","Red Bluff","The single creepiest film of the year !!!","At the risk of repeating what all the other reviewers have stated"
"3","Monona","VERY BAD MOVIE","This is a lame and completely unbelievable movie straight from the 1950s-type phony monsters. A group of women decide to spelunk"
"2","New Philadelphia","Awful Waste of Money!","This tape should be sold as an audio only. The cave scenes are so dark"
"2","Country Club Hills","movie was a waste of money","this movie totally sucks. i only spent 13 dollars on it and i still think i wasted my money. the monsters were so fake and it took like an hour before anything happened. the only cool part was at the begining when that guy died from that pole. thats it"
"2","Southeast","trash"," i wish I could give it no stars!!!!!!"
"1","Louisville","over rated","had been given such a write up on this - disappointing to say the least. No shocks - highly predictable - and with a theme that has been done to death!!"
"4","Junction City","This book is great!","I used this book for an entomology class at my college"
"5","Hollymead","Presto"," chango"
